Result,East,Rank,West,Result.1,year,month
4-3,Shosei,Ms35,Ito,6-1,2020,11
4-3,Nionoumi,Ms36,Aozora,5-2,2020,11
2-5,Wakanoumi,Ms37,Kotoozutsu,5-2,2020,11
2-5,Kaiyudai,Ms38,Mugendai,4-3,2020,11
4-3,Yutakasho,Ms39,Kawamoto,3-4,2020,11
3-4,Yuki,Ms40,Shiba,5-2,2020,11
2-5,Kotoseigo,Ms41,Ryusei,6-1,2020,11
3-4,Daishoryu,Ms42,Hokutotsubasa,3-4,2020,11
3-2-2,Kototsubasa,Ms43,Oginosho,1-6,2020,11
4-3,Kotoyusho,Ms44,Tsushida,2-5,2020,11
2-5,Yoshoyama,Ms45,Keitenkai,4-3,2020,11
2-5,Sadanoryu,Ms46,Tokunomusashi,4-3,2020,11
4-3,Wayama,Ms47,Tennozan,5-2,2020,11
2-5,Horyuyama,Ms48,Otsuji,3-4,2020,11
3-4,Fukamiyama,Ms49,Okinohama,3-4,2020,11
6-1,Ayanoumi,Ms50,Itadaki,5-2,2020,11
4-3,Kotodairyu,Ms51,Mitozakura,4-3,2020,11
1-6,Kotohayato,Ms52,Tanakayama,2-5,2020,11
3-4,Asonoyama,Ms53,Obayama,5-2,2020,11
0-0-7,Hikarugenji,Ms54,Chiyonokatsu,4-3,2020,11
3-4,Tsuyukusa,Ms55,Yokoe,3-4,2020,11
3-4,Shoji,Ms56,Chiyoraizan,3-4,2020,11
1-6,Takaryu,Ms57,Hananofuji,5-2,2020,11
2-5,Kitadaichi,Ms58,Tosamidori,4-3,2020,11
5-2,Kirinofuji,Ms59,Tanabe,5-2,2020,11
4-3,Kaiho,Ms60,Kainoshima,6-1,2020,11
